rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,delay_category
565581,374698,mobile,ended,-16.0,
565675,318715,mobile,ended,107.0,
565927,173376,mobile,ended,49.0,
566027,414498,mobile,ended,32.0,
566069,376311,connect,canceled,canceled,Annulé
566097,389035,mobile,canceled,canceled,Annulé
566123,404483,mobile,ended,142.0,
566273,375908,mobile,ended,44.0,
566292,414708,mobile,ended,48.0,
566331,328506,mobile,ended,-97.0,
566385,211860,connect,ended,58.0,
566551,334671,mobile,ended,25.0,
566682,293785,mobile,ended,66.0,
566709,313772,connect,ended,-73.0,
566762,407907,mobile,ended,16.0,
566908,164960,connect,ended,-44.0,
566921,298388,mobile,ended,28.0,
567107,228776,mobile,canceled,canceled,Annulé
567120,415953,mobile,ended,27.0,
567208,268798,mobile,ended,41.0,
567353,381940,mobile,canceled,canceled,Annulé
567365,279764,mobile,ended,-35.0,
567423,402980,connect,ended,-125.0,
567424,414349,mobile,ended,59.0,
567433,401968,mobile,ended,100.0,
567446,366025,mobile,ended,-29.0,
567610,399205,mobile,ended,22.0,
567636,376840,connect,ended,101.0,
567638,307364,connect,canceled,canceled,Annulé
567654,358772,connect,ended,-90.0,
567773,314572,mobile,ended,21.0,
567777,296295,mobile,ended,30.0,
567828,402779,connect,canceled,canceled,Annulé
568026,214007,mobile,canceled,canceled,Annulé
568168,345738,mobile,ended,58.0,
568188,279378,mobile,canceled,canceled,Annulé
568206,412469,mobile,ended,-12.0,
568657,317378,connect,canceled,canceled,Annulé
568817,314605,mobile,ended,43.0,
569081,291932,connect,ended,-19.0,
569133,415843,mobile,ended,90.0,
569176,410396,mobile,ended,67.0,
569498,402528,connect,ended,-173.0,
570186,372609,mobile,ended,76.0,
570350,365926,connect,ended,-55.0,
570406,293992,mobile,ended,-81.0,
570525,304566,mobile,ended,14.0,
570715,309517,mobile,canceled,canceled,Annulé
570819,353425,connect,ended,-17.0,
571139,347208,connect,ended,-90.0,
505457,368083,mobile,ended,21.0,
506876,367382,mobile,ended,12.0,
508971,232442,mobile,ended,-9.0,
510583,380867,mobile,ended,-1.0,
511106,377746,mobile,ended,-15.0,
511960,216796,mobile,ended,28.0,
512695,361217,mobile,ended,-26.0,
